index,ablation,model,split,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R_mean,R_std
0,A0_FULL_S6,CatBoost,test,18.005758323766454,0.15954118049390514,25.435482803326035,0.24883295281205864,0.7374218959826347,0.0032188779978184353
1,A0_FULL_S6,CatBoost,train,16.944452947077526,0.6564606597879427,25.374361674715562,0.7733217100596824,0.7532779447688459,0.016788092123513867
2,A0_FULL_S6,CatBoost,val,20.054091895409865,0.08417150969558436,28.147688888947414,0.09294410233185388,0.6635733374969788,0.002812741177338612
3,A1_NO_CONS,CatBoost,test,19.104130045354946,0.30080950312397275,27.774106568718665,0.5014761860301968,0.6526902644423294,0.009202940304758276
4,A1_NO_CONS,CatBoost,train,18.50678396393202,1.1636720900232054,27.235922657327226,1.43190190494875,0.700397488841216,0.03256843910667172
5,A1_NO_CONS,CatBoost,val,17.55938320884586,0.17097679174957667,26.078097648055046,0.26135308489351783,0.5235084479404368,0.016838138779652147
6,A2_NO_WEIGHT,CatBoost,test,18.13930150358946,0.05837486860329912,25.615377320549715,0.03582646072768114,0.7331089267861403,0.0021282922977458566
7,A2_NO_WEIGHT,CatBoost,train,17.359323389675954,0.3226433267738508,25.904062722328046,0.418742851070671,0.7415264494310086,0.00903255890559371
8,A2_NO_WEIGHT,CatBoost,val,19.918243536229006,0.0768761207283874,28.029354287264443,0.08336354863552607,0.6667806416406342,0.0030478701747362127
9,A3_NO_FRAC_ENTROPY,CatBoost,test,18.403150833705567,0.21655118173016347,25.9186248313963,0.31642800412824995,0.7239815141897905,0.006847029804017968
10,A3_NO_FRAC_ENTROPY,CatBoost,train,17.72879971154751,0.6092683090119196,26.27908104772622,0.7494722149680244,0.7305336054071546,0.017654955105760952
11,A3_NO_FRAC_ENTROPY,CatBoost,val,19.996357108853548,0.07193021439147819,28.199906510778437,0.08597527684544838,0.6599357114555885,0.0017710943240614248
12,A4_NO_FRAC,CatBoost,test,18.004596509524756,0.11597881986253814,25.480392708164402,0.1390677236367966,0.7369245292313312,0.0007657895619888421
13,A4_NO_FRAC,CatBoost,train,16.874954239495377,0.7329855019327484,25.293580961799695,0.8812009966556383,0.7546674259779161,0.019459405804245856
14,A4_NO_FRAC,CatBoost,val,20.065141662873202,0.05310758649442328,28.223904054830967,0.10523992527944823,0.661068073993171,0.003411588658999798
15,A5_NO_ENTROPY,CatBoost,test,18.276565826321725,0.11983051093993634,25.738989467061398,0.17987594046108704,0.727640486757115,0.00394897113029537
16,A5_NO_ENTROPY,CatBoost,train,17.07313229868228,0.431466178351706,25.53705762027954,0.5156884535548013,0.7494066705439866,0.011420179160106712
17,A5_NO_ENTROPY,CatBoost,val,20.140707707372513,0.12114658624110267,28.290483352340534,0.13431402862131997,0.6582957662079384,0.004593204641237304
18,A6_NO_VOD,CatBoost,test,18.07018029712591,0.12648868596820312,25.61196013315619,0.1100683082263108,0.7323858935897071,0.0014801514364895213
19,A6_NO_VOD,CatBoost,train,17.317129453211454,0.12359265696206526,25.752212783797052,0.1518012293234655,0.7437744868774102,0.0032690805992407926
20,A6_NO_VOD,CatBoost,val,20.169182736819312,0.10197769921418888,28.271192182157137,0.07953888534542311,0.6588963990821651,0.0029523308247688044
21,A7_NO_CORE,CatBoost,test,19.04701900570362,0.11081129783929718,26.570923187238893,0.16934625047633517,0.6965384274272174,0.0030893083032646606
22,A7_NO_CORE,CatBoost,train,19.224772829599015,0.4009756603424766,28.194633121190794,0.49009187141991994,0.6806017030325332,0.013728610949650949
23,A7_NO_CORE,CatBoost,val,20.78545208521211,0.046837774431950044,29.291896112204586,0.10522304468801326,0.6323528945963263,0.0014885871821551902
24,A8_NO_SEASON,CatBoost,test,22.831567645710418,0.08422430059305687,32.036642520158885,0.16370687357698968,0.5539649070151009,0.006790477741089504
25,A8_NO_SEASON,CatBoost,train,20.600942150699623,0.4488321927719189,30.445085443725862,0.5081958707520621,0.6209821222438167,0.01621635865369171
26,A8_NO_SEASON,CatBoost,val,23.23394583040479,0.10263561004449713,32.46848547140645,0.11549291542590223,0.5351724604762151,0.005371498318723869
27,A9_NO_IGBP_PROPS,CatBoost,test,18.15136414442722,0.19718771667128263,25.630592034834436,0.1351417974190221,0.7328436815711501,0.005318374114229868
28,A9_NO_IGBP_PROPS,CatBoost,train,17.184139635859818,0.15654223962376637,25.676605140256953,0.17179321844935874,0.7466131985099226,0.003970060231004448
29,A9_NO_IGBP_PROPS,CatBoost,val,20.159940095488448,0.07916381114815378,28.304212122344165,0.09163996355169234,0.6587507168054373,0.0024050080844118184
