split,n_total,n_consistent,n_inconsistent,consistent_ratio,inconsistent_ratio,lfmc_mean_total,lfmc_mean_consistent,lfmc_mean_inconsistent,lfmc_std_total,lfmc_std_consistent,lfmc_std_inconsistent
train,38435,27748,10687,0.7219461428385586,0.2780538571614414,112.37734004757755,112.86225484004272,111.11829488417122,37.072231359281204,38.2948151703097,33.66048175364637
val,4821,3680,1141,0.7633271105579755,0.23667288944202447,111.74448833183254,111.17829586561344,113.57059549720182,30.488624441220043,30.62573492494013,29.982614787688178
test,3944,3239,705,0.8212474645030426,0.1787525354969574,112.66384863300854,115.34978618933667,100.32377523592089,36.33360990491993,37.29502001633015,28.473488208107575
