IGBP Land Cover,lc_dom_str,is_consistent,n,lfmc_mean,lfmc_std,split
Closed Shrublands | Grasslands,SAV,False,1,87.25,,train
Closed Shrublands | Grasslands | Savannas,GRA,False,1,125.720625,,train
Mixed Forests,ENF,False,1,121.0,,train
Evergreen Needleleaf Forests | Grasslands,GRA,False,1,137.33333333333334,,train
Mixed Forests,CRO,False,1,101.0,,train
Evergreen Needleleaf Forests | Savannas | Woody Savannas,ENF,False,1,123.71428571428572,,train
Open Shrublands,CRO,False,1,89.90333333333335,,train
Mixed Forests | Woody Savannas,SAV,False,1,182.3865771833333,,train
Barren | Grasslands,GRA,False,1,184.47535295142976,,train
Evergreen Needleleaf Forests | Savannas,ENF,False,1,103.0,,train
Grasslands,GRA,True,2338,111.16886481056711,34.38485397597273,val
Woody Savannas,WSA,True,955,108.83167539267016,19.92164373215028,val
Savannas,GRA,False,250,119.89953333333334,42.935500134536284,val
Savannas,SAV,True,236,125.80499264427202,24.148637732944017,val
Woody Savannas,GRA,False,192,106.58861863141597,23.14178412781164,val
Woody Savannas,MF,False,128,107.453125,14.625702419365796,val
Grasslands,WSA,False,83,128.73331192040266,25.92328417704481,val
Mixed Forests,DBF,False,72,115.26388888888889,14.108226603757588,val
Evergreen Needleleaf Forests,ENF,True,71,112.54123841741817,32.535723576783106,val
Grasslands,SAV,False,71,112.78140843424633,26.16356610844613,val
Woody Savannas,DBF,False,60,111.31666666666666,15.660856597853485,val
Savannas,WSA,False,53,99.03059312992158,9.254679285864778,val
Open Shrublands,GRA,False,33,94.1010101010101,12.133726770316708,val
Open Shrublands,OSH,True,32,90.16666666666667,10.240127687375951,val
Croplands,CRO,True,31,91.36559139784947,17.940922565714413,val
Evergreen Needleleaf Forests,GRA,False,31,100.49462365591398,13.973419467435424,val
Closed Shrublands,WSA,False,27,101.88888888888889,25.076293841405533,val
Savannas,ENF,False,23,129.84057971014494,52.85336773051213,val
Grasslands,ENF,False,22,122.4621212121212,41.7601469410115,val
Deciduous Broadleaf Forests,DBF,True,17,111.23529411764706,13.099520085506501,val
Evergreen Needleleaf Forests | Woody Savannas,WSA,False,17,139.19607843137257,9.046734747192309,val
Woody Savannas,SAV,False,11,135.70454545454547,23.450697799270863,val
Deciduous Broadleaf Forests,WSA,False,11,121.45454545454545,22.699619540263825,val
Grasslands,CRO,False,10,127.81850276313146,36.619720431177065,val
Grasslands,OSH,False,9,100.07407407407408,12.29473439433161,val
Evergreen Needleleaf Forests,WSA,False,8,93.47916666666666,19.465361481848912,val
Evergreen Needleleaf Forests,SAV,False,7,112.14285714285714,9.72560032014998,val
Grasslands | Woody Savannas,SAV,False,7,108.42857142857143,24.466266864516015,val
Woody Savannas,ENF,False,5,125.0,43.22614949310197,val
Grasslands | Savannas,SAV,False,4,109.25,32.759858567053264,val
Savannas,CRO,False,4,176.875,33.43183363203401,val
Grasslands | Savannas,GRA,False,2,144.375,38.71409626996348,val
Closed Shrublands,SAV,False,1,95.0,,val
Grasslands,GRA,True,2008,114.33980551656819,39.669669462184245,test
Woody Savannas,WSA,True,564,124.0270390070922,29.710804644939333,test
Croplands,CRO,True,222,98.96684414978826,42.123256525630644,test
Savannas,SAV,True,151,98.39781951010545,25.188532515897926,test
Evergreen Needleleaf Forests,ENF,True,149,116.96693220402686,28.691411761360527,test
Mixed Forests,MF,True,142,137.04929577464787,13.178500961847519,test
Grasslands,WSA,False,131,111.91730279898218,22.08337807490195,test
Closed Shrublands,GRA,False,123,75.65989159891599,25.387115745783177,test
Savannas,GRA,False,93,90.7156556367978,25.408375337226182,test
Mixed Forests,WSA,False,78,135.34615384615384,15.269908567837202,test
Grasslands,CRO,False,67,87.75358017372788,10.844180954706937,test
Grasslands,SAV,False,50,95.19666666666666,18.062429216646063,test
