index,ablation,model,split,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R_mean,R_std,ablation_desc,n_samples
0,A0_FULL_S6,CatBoost,test,18.005758323766454,0.1595411804939051,25.435482803326035,0.2488329528120586,0.7374218959826347,0.0032188779978184,exact S6 baseline: lc_dom + frac + entropy + weight + consistency,3290
1,A0_FULL_S6,CatBoost,train,16.944452947077526,0.6564606597879427,25.37436167471556,0.7733217100596824,0.7532779447688459,0.0167880921235138,exact S6 baseline: lc_dom + frac + entropy + weight + consistency,27802
2,A0_FULL_S6,CatBoost,val,20.054091895409865,0.0841715096955843,28.14768888894741,0.0929441023318538,0.6635733374969788,0.0028127411773386,exact S6 baseline: lc_dom + frac + entropy + weight + consistency,3575
3,A1_NO_CONS,CatBoost,test,19.104130045354943,0.3008095031239727,27.774106568718665,0.5014761860301968,0.6526902644423294,0.0092029403047582,remove consistency filter only,3944
4,A1_NO_CONS,CatBoost,train,18.50678396393202,1.1636720900232054,27.235922657327222,1.43190190494875,0.700397488841216,0.0325684391066717,remove consistency filter only,38435
5,A1_NO_CONS,CatBoost,val,17.55938320884586,0.1709767917495766,26.07809764805505,0.2613530848935178,0.5235084479404368,0.0168381387796521,remove consistency filter only,4821
6,A2_NO_WEIGHT,CatBoost,test,18.13930150358946,0.0583748686032991,25.615377320549715,0.0358264607276811,0.7331089267861403,0.0021282922977458,remove lc_weight only,3290
7,A2_NO_WEIGHT,CatBoost,train,17.359323389675954,0.3226433267738508,25.90406272232805,0.418742851070671,0.7415264494310086,0.0090325589055937,remove lc_weight only,27802
8,A2_NO_WEIGHT,CatBoost,val,19.918243536229006,0.0768761207283874,28.029354287264443,0.083363548635526,0.6667806416406342,0.0030478701747362,remove lc_weight only,3575
9,A3_NO_FRAC_ENTROPY,CatBoost,test,18.403150833705567,0.2165511817301634,25.9186248313963,0.3164280041282499,0.7239815141897905,0.0068470298040179,remove lc_dom_frac and lc_entropy,3290
