index,ablation,model,split,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R_mean,R_std,ablation_desc,n_samples
0,B1_NO_DOY_SIN,CatBoost,test,20.13054871666355,0.1647991252638686,28.706799994133902,0.1529835604818368,0.6511022672587915,0.0060580388142993,remove doy_sin only,3290
1,B1_NO_DOY_SIN,CatBoost,train,18.244976592748813,0.242115774034582,27.57545502015928,0.2854264438479065,0.7048729870437649,0.0074048421890809,remove doy_sin only,27802
2,B1_NO_DOY_SIN,CatBoost,val,22.218548997756425,0.0672531536645646,31.164556867763608,0.0369160454854549,0.5719030141401821,0.0025099037746882,remove doy_sin only,3575
3,B2_NO_DOY_COS,CatBoost,test,18.425524790362644,0.0814071819393011,25.83075596996933,0.0493670289418516,0.7271434725478549,0.0017731241006606,remove doy_cos only,3290
4,B2_NO_DOY_COS,CatBoost,train,17.079674226939748,0.2605251728611277,25.557604066545945,0.3317568542619805,0.7494490524023796,0.0075488485896615,remove doy_cos only,27802
5,B2_NO_DOY_COS,CatBoost,val,20.19546198987366,0.0614776132479999,28.299315046727244,0.0569472747901737,0.6583162729222477,0.002046318707965,remove doy_cos only,3575
6,B3_NO_LAT_NORM,CatBoost,test,20.07327738405236,0.0313141368626888,28.034004921279347,0.1177584331858989,0.6701406509316277,0.0023017837215035,remove lat_norm only,3290
7,B3_NO_LAT_NORM,CatBoost,train,17.80714416752501,0.6069078132047808,26.52059108716584,0.7216232607867367,0.7269082901689815,0.0180318575100339,remove lat_norm only,27802
8,B3_NO_LAT_NORM,CatBoost,val,21.256605532155948,0.0493208316387918,29.422412738188484,0.0329847471920413,0.6241146153622307,0.0021981808907082,remove lat_norm only,3575
9,B4_NO_LAI,CatBoost,test,18.366480704632163,0.0083480201538169,26.00417818687318,0.0515514967211677,0.7234011056478528,0.0030537432688611,remove LAI only,3290
10,B4_NO_LAI,CatBoost,train,18.411760816137857,0.1813797253787373,27.32532782339321,0.2383445451318324,0.7069017503296576,0.0062050228797063,remove LAI only,27802
11,B4_NO_LAI,CatBoost,val,20.478209875521127,0.0213782773539477,28.59040678102438,0.0541574356188069,0.651049100025637,0.0004832094642864,remove LAI only,3575
12,B5_NO_SM,CatBoost,test,18.0324021718767,0.1482813547846394,25.45816535913973,0.2082333094950143,0.734629971405682,0.0029563760434585,remove SM only,3290
13,B5_NO_SM,CatBoost,train,16.545005188443294,0.9914986868149108,24.921405706386253,1.1570338527252688,0.7627184947233587,0.0249156048514639,remove SM only,27802
14,B5_NO_SM,CatBoost,val,20.04658063197789,0.09532769923434,28.17822143460354,0.0478619974408426,0.6620258133460615,0.0014290966824694,remove SM only,3575
15,B6_NO_LST,CatBoost,test,18.324883400044857,0.1175548825735563,25.763773824832725,0.0396963489418931,0.7278736695573874,0.0046466886029959,remove LST only,3290
16,B6_NO_LST,CatBoost,train,17.03712283549741,0.5488995222344994,25.425098562056643,0.6667546220164283,0.7528159594482168,0.0146688534852036,remove LST only,27802
17,B6_NO_LST,CatBoost,val,20.300742986595772,0.0831353028683315,28.34636242082316,0.1117672511072185,0.6560614174834142,0.0030330468499528,remove LST only,3575
18,B7_NO_HVEG,CatBoost,test,18.17943319181796,0.1770238793031111,25.84884482899945,0.1840357037621124,0.7160593687650505,0.0046623371260117,remove Hveg only,3290
19,B7_NO_HVEG,CatBoost,train,17.689369860965307,0.6616819728741409,26.374003033393706,0.791533080222432,0.7287594235891998,0.0194261123419964,remove Hveg only,27802
20,B7_NO_HVEG,CatBoost,val,20.475438513966008,0.0861547125487231,28.907121585883477,0.1430979509312873,0.6423048628654832,0.0045784118260421,remove Hveg only,3575
21,FULL_S6,CatBoost,test,18.005758323766454,0.1595411804939051,25.435482803326035,0.2488329528120586,0.7374218959826347,0.0032188779978184,exact S6 baseline: lc_dom + frac + entropy + weight + consistency,3290
22,FULL_S6,CatBoost,train,16.944452947077526,0.6564606597879427,25.37436167471556,0.7733217100596824,0.7532779447688459,0.0167880921235138,exact S6 baseline: lc_dom + frac + entropy + weight + consistency,27802
23,FULL_S6,CatBoost,val,20.054091895409865,0.0841715096955843,28.14768888894741,0.0929441023318538,0.6635733374969788,0.0028127411773386,exact S6 baseline: lc_dom + frac + entropy + weight + consistency,3575
24,NO_CONS,CatBoost,test,19.104130045354943,0.3008095031239727,27.774106568718665,0.5014761860301968,0.6526902644423294,0.0092029403047582,remove consistency filter only,3944
25,NO_CONS,CatBoost,train,18.50678396393202,1.1636720900232054,27.235922657327222,1.43190190494875,0.700397488841216,0.0325684391066717,remove consistency filter only,38435
26,NO_CONS,CatBoost,val,17.55938320884586,0.1709767917495766,26.07809764805505,0.2613530848935178,0.5235084479404368,0.0168381387796521,remove consistency filter only,4821
