base_scheme,ablation,ablation_desc,model,repeat,split,n,MAE,RMSE,R
S6_LC_DOM_FE_W_CONS,B4_NO_LAI,remove LAI only,CatBoost,1,test,3290,18.36659858047721,26.051968112201916,0.7222351505989739
S6_LC_DOM_FE_W_CONS,B4_NO_LAI,remove LAI only,CatBoost,2,train,27802,18.24266693970773,27.087145679233256,0.7133180828857233
S6_LC_DOM_FE_W_CONS,B4_NO_LAI,remove LAI only,CatBoost,2,val,3575,20.456708918734538,28.61144224106974,0.6504914137183131
S6_LC_DOM_FE_W_CONS,B4_NO_LAI,remove LAI only,CatBoost,2,test,3290,18.37476916267799,25.949548079959957,0.7268660546451057
S6_LC_DOM_FE_W_CONS,B4_NO_LAI,remove LAI only,CatBoost,3,train,27802,18.389284156516553,27.32500335273846,0.7064549815846063
S6_LC_DOM_FE_W_CONS,B4_NO_LAI,remove LAI only,CatBoost,3,val,3575,20.478457383593213,28.52888748339525,0.6513127486624067
S6_LC_DOM_FE_W_CONS,B4_NO_LAI,remove LAI only,CatBoost,3,test,3290,18.358074370741292,26.01101836845767,0.721102111699479
S6_LC_DOM_FE_W_CONS,B5_NO_SM,remove SM only,CatBoost,1,train,27802,17.36006216267882,25.88568817238061,0.7420742788181409
S6_LC_DOM_FE_W_CONS,B5_NO_SM,remove SM only,CatBoost,1,val,3575,19.99879663950748,28.18925814585937,0.6629565978966613
S6_LC_DOM_FE_W_CONS,B5_NO_SM,remove SM only,CatBoost,1,test,3290,18.153906517001527,25.640278001322944,0.7320902507433793
S6_LC_DOM_FE_W_CONS,B5_NO_SM,remove SM only,CatBoost,2,train,27802,15.441178458818618,23.6384231466057,0.7903942659018792
S6_LC_DOM_FE_W_CONS,B5_NO_SM,remove SM only,CatBoost,2,val,3575,19.984595461346665,28.125805168014484,0.6627404835344127
S6_LC_DOM_FE_W_CONS,B5_NO_SM,remove SM only,CatBoost,2,test,3290,17.86717569259915,25.231140841946853,0.7378753123184743
S6_LC_DOM_FE_W_CONS,B5_NO_SM,remove SM only,CatBoost,3,train,27802,16.83377494383244,25.240105800172454,0.7556869394500559
S6_LC_DOM_FE_W_CONS,B5_NO_SM,remove SM only,CatBoost,3,val,3575,20.156349795079517,28.219600989936758,0.6603803586071103
S6_LC_DOM_FE_W_CONS,B5_NO_SM,remove SM only,CatBoost,3,test,3290,18.076124306029424,25.50307723414939,0.7339243511551923
S6_LC_DOM_FE_W_CONS,B6_NO_LST,remove LST only,CatBoost,1,train,27802,16.985664990403624,25.342272392455776,0.7546394329689633
S6_LC_DOM_FE_W_CONS,B6_NO_LST,remove LST only,CatBoost,1,val,3575,20.238843859098818,28.245331650531828,0.659113530873819
S6_LC_DOM_FE_W_CONS,B6_NO_LST,remove LST only,CatBoost,1,test,3290,18.45563954167011,25.77498533014006,0.723741434476567
S6_LC_DOM_FE_W_CONS,B6_NO_LST,remove LST only,CatBoost,2,train,27802,17.609939276767758,26.12939670114794,0.7373206198816189
S6_LC_DOM_FE_W_CONS,B6_NO_LST,remove LST only,CatBoost,2,val,3575,20.395236646012897,28.466422798677282,0.6530478037025532
S6_LC_DOM_FE_W_CONS,B6_NO_LST,remove LST only,CatBoost,2,test,3290,18.291069137420422,25.7966586779274,0.7329037691997746
S6_LC_DOM_FE_W_CONS,B6_NO_LST,remove LST only,CatBoost,3,train,27802,16.51576423932084,24.803626592566204,0.7664878254940681
S6_LC_DOM_FE_W_CONS,B6_NO_LST,remove LST only,CatBoost,3,val,3575,20.26814845467561,28.327332813260377,0.6560229178738705
S6_LC_DOM_FE_W_CONS,B6_NO_LST,remove LST only,CatBoost,3,test,3290,18.227941521044045,25.719677466430717,0.7269758049958207
S6_LC_DOM_FE_W_CONS,B7_NO_HVEG,remove Hveg only,CatBoost,1,train,27802,16.92621087038306,25.461139077723345,0.7511236105287328
S6_LC_DOM_FE_W_CONS,B7_NO_HVEG,remove Hveg only,CatBoost,1,val,3575,20.402786208605075,28.784830766090973,0.6458716305932903
S6_LC_DOM_FE_W_CONS,B7_NO_HVEG,remove Hveg only,CatBoost,1,test,3290,17.993297634964673,25.67724182450694,0.7189935866796009
S6_LC_DOM_FE_W_CONS,B7_NO_HVEG,remove Hveg only,CatBoost,2,train,27802,18.102797426005296,26.8696034413074,0.7160752656653975
S6_LC_DOM_FE_W_CONS,B7_NO_HVEG,remove Hveg only,CatBoost,2,val,3575,20.45291004585372,28.872034256513967,0.643900899193084
S6_LC_DOM_FE_W_CONS,B7_NO_HVEG,remove Hveg only,CatBoost,2,test,3290,18.199339370346085,25.82609474490966,0.7185012445095919
S6_LC_DOM_FE_W_CONS,B7_NO_HVEG,remove Hveg only,CatBoost,3,train,27802,18.039101286507567,26.791266581150357,0.7190793945734687
S6_LC_DOM_FE_W_CONS,B7_NO_HVEG,remove Hveg only,CatBoost,3,val,3575,20.570619287439232,29.064499735045484,0.6371420588100752
S6_LC_DOM_FE_W_CONS,B7_NO_HVEG,remove Hveg only,CatBoost,3,test,3290,18.345662570143116,26.04319791758176,0.7106832751059586
S6_LC_DOM_FE_W_CONS,NO_CONS,remove consistency filter only,CatBoost,1,train,38435,18.769690295315336,27.570980011741113,0.6922431898049857
S6_LC_DOM_FE_W_CONS,NO_CONS,remove consistency filter only,CatBoost,1,val,4821,17.562034184500014,26.17632286520429,0.5176376285265084
S6_LC_DOM_FE_W_CONS,NO_CONS,remove consistency filter only,CatBoost,1,test,3944,18.983132656415943,27.76167987988918,0.6537643899817328
S6_LC_DOM_FE_W_CONS,NO_CONS,remove consistency filter only,CatBoost,2,train,38435,19.516511296140624,28.47058708106456,0.6726810260879049
S6_LC_DOM_FE_W_CONS,NO_CONS,remove consistency filter only,CatBoost,2,val,4821,17.72901909842034,26.276107053919333,0.5103916606912332
S6_LC_DOM_FE_W_CONS,NO_CONS,remove consistency filter only,CatBoost,2,test,3944,19.446596966885846,28.281680609846806,0.6429973947176321
S6_LC_DOM_FE_W_CONS,NO_CONS,remove consistency filter only,CatBoost,3,train,38435,17.234150300340094,25.666200879176003,0.7362682506307573
S6_LC_DOM_FE_W_CONS,NO_CONS,remove consistency filter only,CatBoost,3,val,4821,17.38709634361722,25.78186302504151,0.542496054603569
S6_LC_DOM_FE_W_CONS,NO_CONS,remove consistency filter only,CatBoost,3,test,3944,18.882660512763046,27.27895921642001,0.6613090086276232
