split,FT,n,MAE,RMSE,R
val,Tree,4867,19.247623304292908,26.638136091640856,0.5290824644406679
val,Mix,1765,20.549932704932218,28.057353148054265,0.5787814854887435
val,Shrub,729,21.285268778921814,31.047215353038986,0.7531314909987509
val,Herb,9,45.35517683951923,48.598218400561386,0.879706937058354
test,Tree,4153,21.271555749871215,29.717802995433047,0.6777628522471143
test,Mix,1273,24.695659722460153,32.309715929361865,0.6663875790890422
test,Shrub,773,25.615164815444093,32.85385526211222,0.4410577402270966
test,Herb,30,44.610190778568786,56.690614878148665,0.7987958069705952
