split,FT,n,MAE,RMSE,R
val,Tree,4867,18.372254684632956,26.122172442712618,0.5313366230197214
val,Mix,1765,19.578159907114514,27.649818916455157,0.5715435889079694
val,Shrub,729,20.61561222125838,30.709157907555785,0.7567234027313644
val,Herb,9,55.424276764418174,58.33396655640083,0.9132010439607134
test,Tree,4153,21.49955696008279,30.35371460487958,0.6834991442409595
test,Mix,1273,23.93783268634661,31.975657020318465,0.6839444581812474
test,Shrub,773,23.14122970628317,30.645822666100898,0.4744447410525291
test,Herb,30,47.27650739427101,59.475382237577975,0.7922114200394105
