split,LC_dom,n,MAE,RMSE,R
val,GRA,1276,20.867250560017006,28.317795633139397,0.6726136902963168
val,ENF,10,84.60737370771096,94.74945211242635,0.8419062421507028
test,GRA,885,24.348448735158684,31.269650240771547,0.7086792627972595
test,ENF,12,27.250696439663415,28.814225434637134,0.577281593060567
test,OSH,7,5.4793917509001835,6.547369131519215,0.6861858764493204
