index,scheme,model,split,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R_mean,R_std,n_samples
0,FINAL_S6_LITE,CatBoost,test,18.19057122495951,0.0871003275699487,25.608331321830605,0.0621023564328453,0.7313710650331829,0.0024791923049435,3290
1,FINAL_S6_LITE,CatBoost,train,17.57130865433753,0.1343967656591944,26.15111416509247,0.1562080590475196,0.7328857687074404,0.0038961462999306,27802
2,FINAL_S6_LITE,CatBoost,val,19.594322523056988,0.0920906515391176,27.73687267836796,0.0720651025522718,0.6739996332324151,0.0023192020365251,3575
0,FINAL_S6_LITE,FTTransformer,test,18.946645046512405,0.325303663016826,26.70208366218722,0.4630898530396892,0.6849657332691977,0.0236801327287489,3290
1,FINAL_S6_LITE,FTTransformer,train,18.905624369264256,0.2806796072161827,27.751167720217925,0.467968970865894,0.6811666289773001,0.0130702243497373,27802
2,FINAL_S6_LITE,FTTransformer,val,20.66379735897749,0.3693313454670021,29.27292429254976,0.5387645994385657,0.6254346331628393,0.0183124072581294,3575
3,FINAL_S6_LITE,LightGBM,test,18.593557153689652,0.1032703255853636,26.19047336196117,0.1424927465181058,0.7089350086417596,0.0049077203915181,3290
4,FINAL_S6_LITE,LightGBM,train,12.026475767451087,0.0568719234238751,20.592860086205835,0.0908164041944927,0.8499066464055143,0.0015841301354281,27802
5,FINAL_S6_LITE,LightGBM,val,20.637381566249577,0.1163125215773367,29.03293765652731,0.2703923679508682,0.6307419200367731,0.0076769188440206,3575
3,FINAL_S6_LITE,MLP_base,test,19.481012517219863,0.1966085313420869,26.9381665064086,0.2769361233712857,0.6796966353318136,0.0038656096316602,3290
4,FINAL_S6_LITE,MLP_base,train,20.192008179843395,0.1840018369929267,29.200429639080443,0.1926813232134632,0.6424755223704343,0.0066238085298291,27802
5,FINAL_S6_LITE,MLP_base,val,20.43698171317716,0.0559632324665961,28.687904027689672,0.0166683921477224,0.6429497409271999,0.0018676572629045,3575
6,FINAL_S6_LITE,MLP_deep,test,19.06709350240025,0.3869704826769096,26.35792602508755,0.5555370919359959,0.6958721066116391,0.0121532990709943,3290
7,FINAL_S6_LITE,MLP_deep,train,19.318198906086995,0.7631939836055872,28.118031773429298,0.9416497900341482,0.6723934755513704,0.0255494411375663,27802
8,FINAL_S6_LITE,MLP_deep,val,20.02515645327268,0.2458788779724743,28.13945637278282,0.4437221232305557,0.6604900889311572,0.0142920658690714,3575
0,FINAL_S6_LITE,MoE_MLP,test,18.262888316180568,0.2751580631122086,25.64040381623901,0.4686897424701543,0.7149318507000659,0.0181743718573087,3290
1,FINAL_S6_LITE,MoE_MLP,train,18.924435943873203,0.3195703199697833,27.691846823398905,0.3361005117929158,0.6860988391593651,0.009220389512316,27802
2,FINAL_S6_LITE,MoE_MLP,val,19.868154031713527,0.1634208568084743,28.006590530883447,0.2763604326177339,0.665550863272478,0.0085395175300767,3575
3,FINAL_S6_LITE,MoE_ResNetMLP,test,19.377628902775417,0.2103574508285429,26.55113035797937,0.3910904407272291,0.6746958621051317,0.0119874941823186,3290
4,FINAL_S6_LITE,MoE_ResNetMLP,train,19.006873934425546,0.36350350333162,27.61564444049184,0.4584833756888934,0.6824491222952044,0.0114617752147483,27802
5,FINAL_S6_LITE,MoE_ResNetMLP,val,19.97335006055854,0.2302508540550238,27.951292587997653,0.1980016761279996,0.6617358010453637,0.0076423250597285,3575
9,FINAL_S6_LITE,ResNetMLP,test,19.859305682757224,0.6054928625408158,27.1224345810965,0.871980937579542,0.6630330938849065,0.0103055256493568,3290
10,FINAL_S6_LITE,ResNetMLP,train,19.570055059219463,1.0076617682311657,28.132466639169888,1.3847225400003689,0.6703738157726965,0.0344154765286402,27802
11,FINAL_S6_LITE,ResNetMLP,val,20.39287469521547,0.2082967335795903,28.49470649192897,0.5607582701757431,0.6491791085225255,0.0087836030412417,3575
12,FINAL_S6_LITE,TabNet,test,17.82018051775514,0.1144271370451767,24.922818303914152,0.0935018790210536,0.725881834625801,0.0035954907184454,3290
13,FINAL_S6_LITE,TabNet,train,18.916411031050163,0.3358233090602388,27.59380786317431,0.3483012546190141,0.6844496708048048,0.0092293214333559,27802
14,FINAL_S6_LITE,TabNet,val,19.67240683299956,0.1034296324947053,27.799341931873787,0.1071622425071793,0.6695894598210391,0.0049727718180308,3575
15,FINAL_S6_LITE,TabTransformer_base,test,19.442336264787112,0.1891868531189992,26.92225511829185,0.2644080735609008,0.6846986648849551,0.0066810399114134,3290
16,FINAL_S6_LITE,TabTransformer_base,train,20.815491448691507,0.3375813801264842,29.860291626016053,0.3657978462907901,0.6191116912229732,0.0116187600591495,27802
17,FINAL_S6_LITE,TabTransformer_base,val,20.412398526385115,0.1071599282340295,28.634588557178628,0.2470983417381373,0.6434393942363313,0.0058820538543804,3575
6,FINAL_S6_LITE,XGBoost,test,18.751786961703104,0.1322235133390448,26.347807051965816,0.1381481366206268,0.7074283108040955,0.0058187597657907,3290
7,FINAL_S6_LITE,XGBoost,train,10.39187626775599,0.1697324381593102,18.75517073295731,0.1659670347025506,0.8819914045430736,0.0025869530643186,27802
8,FINAL_S6_LITE,XGBoost,val,20.812604991701583,0.1490957214040046,28.771711016669983,0.1298215444620485,0.6364914913162433,0.0042539785799537,3575
