index,scheme,model,split,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R_mean,R_std
0,FINAL_S6_LITE,CatBoost,test,18.245818114486895,,25.642646637475703,,0.7292750512147178,
1,FINAL_S6_LITE,CatBoost,train,17.46630525691429,,26.039930256043796,,0.7353892597470972,
2,FINAL_S6_LITE,CatBoost,val,19.586376919864502,,27.68734131874487,,0.6752761348441778,
3,FINAL_S6_LITE,LightGBM,test,18.680213263750286,,26.296242880262223,,0.7052386094924814,
4,FINAL_S6_LITE,LightGBM,train,12.019777263507562,,20.596922696055852,,0.8497720356105914,
5,FINAL_S6_LITE,LightGBM,val,20.68737022119238,,29.14042012576749,,0.627754663814692,
6,FINAL_S6_LITE,XGBoost,test,18.599320255529285,,26.1937057885315,,0.7137726297438102,
7,FINAL_S6_LITE,XGBoost,train,10.587147747931908,,18.94672613282551,,0.8790053621338677,
8,FINAL_S6_LITE,XGBoost,val,20.642661346198285,,28.629140720394755,,0.6411730943525948,
