index,scheme,model,split,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R_mean,R_std,n_samples
0,S1_FT,CatBoost,test,19.178567326141746,0.0272282195933565,28.09539051584325,0.1321220011690971,0.6340504907737169,0.004386403928522,3944
1,S1_FT,CatBoost,train,17.001683724747938,0.1952502570281066,25.436676393221926,0.2397945469296858,0.7411574558073858,0.0054164627338933,38435
2,S1_FT,CatBoost,val,16.843010335839605,0.0299922899294263,25.487802548093526,0.0898182951326295,0.5541046901910358,0.0037799974505734,4821
3,S1_FT,LightGBM,test,20.12802217787407,0.0112534472190007,28.52425284924665,0.0971568490404443,0.6277830939569434,0.0027808356747728,3944
4,S1_FT,LightGBM,train,11.532009723381092,0.0399002309617979,19.70845044326627,0.0297441463235493,0.8573314513721777,0.0004434748180224,38435
5,S1_FT,LightGBM,val,17.429116575904963,0.0542893997820352,25.417921386272614,0.1868466792767651,0.5681453129396608,0.0071318982551732,4821
0,S1_FT,MLP,test,21.594290166952224,0.1660871463863701,31.12053726865196,0.2450823301986834,0.5492680731437328,0.0135601767028829,3944
1,S1_FT,MLP,train,18.585124484066288,0.3793462892239179,27.340581632753416,0.552382654197658,0.6871624336195357,0.0118136366300767,38435
2,S1_FT,MLP,val,18.589886733327244,0.1953870483294016,27.67754201797864,0.1806375962830794,0.4622491532033979,0.0088424284235284,4821
3,S1_FT,TabTransformer,test,21.67588407361403,0.3899575963183464,31.309554810426523,0.5342981946692047,0.5384160944418227,0.0188341862986961,3944
4,S1_FT,TabTransformer,train,18.959359148794373,0.1658836504091597,27.78728367081889,0.192194023445181,0.6731314066130377,0.0069034706245059,38435
5,S1_FT,TabTransformer,val,18.79969284734414,0.3412040081530253,27.743027872976068,0.3171983492669823,0.4577423665241022,0.0118247789013317,4821
6,S1_FT,XGBoost,test,19.935278861990515,0.2412383169858543,28.268010159766465,0.125148652115027,0.6300300626825465,0.0032344083280338,3944
7,S1_FT,XGBoost,train,10.133267849145,0.1270536401966904,18.11017446615445,0.1147223572825345,0.8855035259170405,0.0019090315000839,38435
8,S1_FT,XGBoost,val,17.512447006562265,0.1181967875103274,25.483308483331488,0.1400524977366971,0.5590003951711521,0.0052470495020121,4821
9,S2_IGBP_DOM,CatBoost,test,19.31451915283263,0.0869806418333573,27.76023595538425,0.0409467173891211,0.6452085091661002,0.0012264115671179,3944
10,S2_IGBP_DOM,CatBoost,train,17.714723128143742,0.408275786545888,26.301529629606275,0.4887236804530159,0.7181445583933194,0.0117600131595301,38435
