scheme,scheme_desc,model,repeat,split,n,MAE,RMSE,R
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,LightGBM,1,train,38836,11.965795507109755,20.3082815822239,0.8474469952234951
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,LightGBM,1,val,4831,18.76928450716925,26.744904055504048,0.5359538314846751
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,LightGBM,1,test,3524,20.494141299771947,28.913538781492008,0.6181024785360842
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,XGBoost,1,train,38836,10.59393647611116,18.842536982150584,0.8754715033629167
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,XGBoost,1,val,4831,18.79275658789716,26.743999398731898,0.5244517634650094
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,XGBoost,1,test,3524,21.047665523922387,29.240986004856214,0.6064792858053931
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,CatBoost,2,train,38836,18.9956124347728,27.8593754504084,0.6796345828070263
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,CatBoost,2,val,4831,17.894733347784218,26.41893610175255,0.5119656634246554
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,CatBoost,2,test,3524,20.013141775548913,28.771491213856645,0.6271276175329022
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,LightGBM,2,train,38836,12.105767601931582,20.497945362594812,0.8442237087884664
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,LightGBM,2,val,4831,18.862620130910674,26.76750075139361,0.5327187777867535
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,LightGBM,2,test,3524,20.640105489147196,28.952544611857242,0.6164100180580193
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,XGBoost,2,train,38836,10.451991229877791,18.731940976902088,0.8771580762763453
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,XGBoost,2,val,4831,18.745117481468622,26.82802498925148,0.5213208494165653
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,XGBoost,2,test,3524,20.878575652241597,29.040357609146074,0.6130572125841038
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,CatBoost,3,train,38836,18.357974556299936,27.090593500387957,0.6974159086172658
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,CatBoost,3,val,4831,17.94627265198946,26.491890386513706,0.5148788212688216
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,CatBoost,3,test,3524,19.92112545252017,28.58748509620052,0.6293556025052631
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,LightGBM,3,train,38836,12.194251790345987,20.559117193287022,0.8432179859207385
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,LightGBM,3,val,4831,18.804564052968026,26.670272800119783,0.5375489501478665
