index,scheme,model,split,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R_mean,R_std
0,S1_FT,CatBoost,test,19.178567326141742,0.027228219593356598,28.095390515843246,0.13212200116909714,0.6340504907737169,0.004386403928522073
1,S1_FT,CatBoost,train,17.001683724747938,0.1952502570281066,25.436676393221926,0.23979454692968588,0.7411574558073858,0.0054164627338933995
2,S1_FT,CatBoost,val,16.843010335839605,0.029992289929426364,25.487802548093526,0.08981829513262952,0.5541046901910358,0.0037799974505734425
3,S1_FT,LightGBM,test,20.12802217787407,0.011253447219000758,28.524252849246654,0.09715684904044437,0.6277830939569434,0.0027808356747728662
4,S1_FT,LightGBM,train,11.532009723381092,0.03990023096179792,19.70845044326627,0.029744146323549384,0.8573314513721777,0.000443474818022428
5,S1_FT,LightGBM,val,17.429116575904963,0.054289399782035286,25.417921386272614,0.18684667927676515,0.5681453129396608,0.007131898255173267
6,S1_FT,XGBoost,test,19.935278861990515,0.24123831698585438,28.268010159766465,0.12514865211502704,0.6300300626825465,0.00323440832803381
7,S1_FT,XGBoost,train,10.133267849145001,0.12705364019669046,18.11017446615445,0.11472235728253458,0.8855035259170405,0.001909031500083986
8,S1_FT,XGBoost,val,17.512447006562265,0.11819678751032743,25.483308483331488,0.14005249773669715,0.5590003951711521,0.005247049502012107
9,S2_IGBP_DOM,CatBoost,test,19.31451915283263,0.0869806418333573,27.760235955384246,0.040946717389121125,0.6452085091661002,0.0012264115671179756
10,S2_IGBP_DOM,CatBoost,train,17.714723128143742,0.40827578654588803,26.301529629606275,0.4887236804530159,0.7181445583933194,0.01176001315953017
11,S2_IGBP_DOM,CatBoost,val,17.519553719172688,0.09827017368273049,26.002763830619653,0.1592230081440053,0.5314542535857536,0.006848255965999352
12,S2_IGBP_DOM,LightGBM,test,20.66218737287372,0.1595373040605682,28.957245413004,0.10148469170120843,0.6103247311258543,0.0026177010876994784
13,S2_IGBP_DOM,LightGBM,train,12.065812379398308,0.09693106710797182,20.444067063280002,0.10926411079104088,0.8462921105833129,0.00176042260997725
14,S2_IGBP_DOM,LightGBM,val,18.273903767348077,0.22158974740225867,26.163873582628998,0.3351528352108516,0.5372843254512948,0.010467854160403774
15,S2_IGBP_DOM,XGBoost,test,20.686078529298282,0.0840189842734096,28.86683765117077,0.135923323440634,0.6091901887488654,0.00422104479212982
16,S2_IGBP_DOM,XGBoost,train,10.555367916897666,0.04867997817841848,18.77777748786566,0.06231739689682686,0.8773135103619758,0.0009478712062711171
17,S2_IGBP_DOM,XGBoost,val,18.30028948017409,0.1915246269179716,26.210901665068494,0.27181899091996986,0.5296592697536018,0.010651568217762678
18,S3_IGBP_DOM_FE,CatBoost,test,19.986865931806182,0.05731355877849488,28.685375022608607,0.09256634627894725,0.6275331365495044,0.0016573422189021662
19,S3_IGBP_DOM_FE,CatBoost,train,18.592735916056643,0.3504890098416958,27.37794606771298,0.4195304272249486,0.6905940473034723,0.00958559893617999
20,S3_IGBP_DOM_FE,CatBoost,val,17.896662187746035,0.04867471561385449,26.393314263260134,0.11357566725600786,0.5166814502766922,0.005830002671378098
21,S3_IGBP_DOM_FE,LightGBM,test,20.575099790416633,0.07427822576223106,28.943325665921833,0.026412947034606254,0.6168003995663728,0.0011573676223387715
22,S3_IGBP_DOM_FE,LightGBM,train,12.08860496646244,0.11519108203204578,20.45511471270191,0.1307878984158665,0.8449628966442333,0.002209282448055307
23,S3_IGBP_DOM_FE,LightGBM,val,18.812156230349316,0.04712871240381947,26.727559202339148,0.050881741083717014,0.5354071864730984,0.002461047914207776
24,S3_IGBP_DOM_FE,XGBoost,test,20.91982524913941,0.11301019997644032,29.104338192439084,0.11842015425061642,0.6108721328815835,0.0038043340755907333
25,S3_IGBP_DOM_FE,XGBoost,train,10.540044379578978,0.0768917836785866,18.796209089541993,0.05743916534308602,0.8760601280235133,0.0009516774344722194
26,S3_IGBP_DOM_FE,XGBoost,val,18.77097908204051,0.02408071816951598,26.75351472901706,0.07023767261856378,0.5246630005594904,0.003452619537248266
27,S4_IGBP_DOM_FE_W,CatBoost,test,19.921683564475824,0.12457348365221203,28.51743937120011,0.24577344759933947,0.6320296078429607,0.0063897728618000655
28,S4_IGBP_DOM_FE_W,CatBoost,train,18.015557288156323,0.8187351793252587,26.67803995329041,0.9996824822744708,0.7072985647373704,0.024333010227374934
29,S4_IGBP_DOM_FE_W,CatBoost,val,17.87616215777727,0.02852860507813363,26.311465669403006,0.07347746880633797,0.5241767971953878,0.009085392936138706
30,S4_IGBP_DOM_FE_W,LightGBM,test,20.379426939818046,0.05979701077180662,28.84592601610748,0.0756253809942774,0.6199509746236146,0.002354903422329776
31,S4_IGBP_DOM_FE_W,LightGBM,train,13.328393385019845,0.05900443295673761,21.823962409846747,0.07982217554911966,0.821246362208381,0.0014576875454048628
32,S4_IGBP_DOM_FE_W,LightGBM,val,18.618503892525027,0.055963975812039934,26.65210898388716,0.07270578962386719,0.530164162146335,0.002634853104734681
33,S4_IGBP_DOM_FE_W,XGBoost,test,20.527670700371093,0.09794194870320586,28.714986781877396,0.22053947885447825,0.6240234994085914,0.007364368819406898
34,S4_IGBP_DOM_FE_W,XGBoost,train,10.457148274869992,0.0622263062684047,18.683557279063667,0.02166312720446911,0.8778529068787736,0.0002927330750730218
35,S4_IGBP_DOM_FE_W,XGBoost,val,18.695339103730632,0.1526234023069984,26.669304570417523,0.19126070353990496,0.5270124375784583,0.0074613488802541
36,S5_LC_DOM_FE_W,CatBoost,test,19.104130045354946,0.30080950312397275,27.774106568718665,0.5014761860301968,0.6526902644423294,0.009202940304758276
37,S5_LC_DOM_FE_W,CatBoost,train,18.50678396393202,1.1636720900232054,27.235922657327226,1.43190190494875,0.700397488841216,0.03256843910667172
38,S5_LC_DOM_FE_W,CatBoost,val,17.55938320884586,0.17097679174957667,26.078097648055046,0.26135308489351783,0.5235084479404368,0.016838138779652147
39,S5_LC_DOM_FE_W,LightGBM,test,19.588732116865284,0.08076891027209292,27.84931723985032,0.11003312163781943,0.645170154025471,0.003501244547395995
40,S5_LC_DOM_FE_W,LightGBM,train,12.292644679218862,0.04977196022074072,20.7258381132332,0.04337217636228622,0.8419723114284482,0.0007334695419238478
41,S5_LC_DOM_FE_W,LightGBM,val,18.350867104701862,0.016787071897961928,26.3065114947446,0.06110530788519094,0.5338884945478363,0.001699316707937045
42,S5_LC_DOM_FE_W,XGBoost,test,19.882291457595976,0.20001307041388686,27.99678919829384,0.22897999376811437,0.6394818504904842,0.006791401884148145
43,S5_LC_DOM_FE_W,XGBoost,train,10.55434820091842,0.05014357153007588,18.792054417233754,0.06293871010181523,0.8755629021926902,0.0009710182758642146
44,S5_LC_DOM_FE_W,XGBoost,val,18.172412722720505,0.09714067212006945,25.996363002743603,0.16697271225014493,0.5411704063034689,0.008251887415182136
45,S6_LC_DOM_FE_W_CONS,CatBoost,test,18.005758323766454,0.15954118049390514,25.435482803326035,0.24883295281205864,0.7374218959826347,0.0032188779978184353
46,S6_LC_DOM_FE_W_CONS,CatBoost,train,16.944452947077526,0.6564606597879427,25.374361674715562,0.7733217100596824,0.7532779447688459,0.016788092123513867
47,S6_LC_DOM_FE_W_CONS,CatBoost,val,20.054091895409865,0.08417150969558436,28.147688888947414,0.09294410233185388,0.6635733374969788,0.002812741177338612
48,S6_LC_DOM_FE_W_CONS,LightGBM,test,18.615825650315827,0.16019989463758935,26.083490487648675,0.13594894185567596,0.709234234489109,0.002563119350560515
49,S6_LC_DOM_FE_W_CONS,LightGBM,train,11.883481903681627,0.03858960570079618,20.441942244730424,0.04947720414152627,0.8528606212572568,0.0007972355068528375
50,S6_LC_DOM_FE_W_CONS,LightGBM,val,20.54049399055252,0.15821230715372583,28.644965095058893,0.12599401970951496,0.6427106322908123,0.00473442086852502
51,S6_LC_DOM_FE_W_CONS,XGBoost,test,18.413152504472734,0.03546534867912156,25.892908638014934,0.06625371656629715,0.7168549171147491,0.0011724899235986384
52,S6_LC_DOM_FE_W_CONS,XGBoost,train,9.989621418408474,0.04831901166136912,18.320295676684413,0.07993119886541347,0.8871239676734483,0.0011974082783981546
53,S6_LC_DOM_FE_W_CONS,XGBoost,val,20.712184641240928,0.07019404828512385,28.57549317353002,0.11103706958834843,0.6422890445746843,0.003270149823760769
54,S7_LC_DOM_FE_W_CONS_NV,CatBoost,test,19.566975960109662,0.14345459703400315,27.934226380130468,0.1833262725956134,0.6676708133872765,0.00905087562868883
55,S7_LC_DOM_FE_W_CONS_NV,CatBoost,train,15.252632747033815,1.744443381403812,23.223081624349188,2.0036426285419537,0.7879406455816079,0.04247405867888408
56,S7_LC_DOM_FE_W_CONS_NV,CatBoost,val,21.55000036888127,0.3028435092125977,30.24426748515762,0.24718684673621427,0.6574636762270024,0.004802059842504789
57,S7_LC_DOM_FE_W_CONS_NV,LightGBM,test,20.302646155752416,0.16159426060919468,28.858564006238854,0.16401880457150025,0.6360829578538493,0.005615489785499248
58,S7_LC_DOM_FE_W_CONS_NV,LightGBM,train,11.542742341694703,0.10906034949489256,19.802129143572795,0.07988298827972037,0.8558747784295146,0.0014737966207955977
59,S7_LC_DOM_FE_W_CONS_NV,LightGBM,val,21.390189837148537,0.11126783864282404,29.995002196003522,0.15825144730956153,0.6667114682986081,0.004817860035412409
60,S7_LC_DOM_FE_W_CONS_NV,XGBoost,test,20.20476654753593,0.1454052331330085,28.62616161159355,0.1383217444548382,0.6446094281275957,0.004827616496507806
61,S7_LC_DOM_FE_W_CONS_NV,XGBoost,train,9.614729861709451,0.1397758794843516,17.578032851823213,0.1511580261253038,0.891847839092164,0.002318199107630239
62,S7_LC_DOM_FE_W_CONS_NV,XGBoost,val,21.528876071145945,0.17483857000443828,30.256327590156967,0.15040885800158027,0.6609526581195083,0.0050996601133672485
