iter	Passed	Remaining
400	19660	127428
401	19706	127357
402	19750	127276
403	19786	127144
404	19826	127035
405	19864	126915
406	19906	126821
407	19942	126692
408	19980	126577
409	20017	126454
410	20056	126343
411	20092	126210
412	20131	126102
413	20169	125986
414	20212	125901
415	20261	125854
416	20308	125793
417	20366	125801
418	20423	125805
419	20474	125769
420	20524	125733
421	20572	125677
422	20622	125634
423	20668	125569
424	20729	125598
425	20778	125551
426	20829	125512
427	20881	125483
428	20930	125433
429	20977	125377
430	21036	125390
431	21086	125345
432	21133	125286
433	21179	125219
434	21227	125170
435	21280	125143
436	21331	125111
437	21391	125126
438	21445	125108
439	21494	125057
440	21543	125012
441	21593	124971
442	21642	124918
443	21697	124909
444	21747	124866
445	21811	124901
446	21861	124859
447	21909	124807
448	21973	124844
449	22023	124797
450	22073	124755
451	22122	124706
452	22171	124660
453	22216	124590
454	22257	124494
455	22294	124381
456	22333	124275
457	22370	124162
458	22413	124082
459	22450	123966
460	22491	123873
461	22527	123755
462	22566	123653
463	22605	123549
464	22645	123454
465	22687	123369
466	22737	123325
467	22794	123323
468	22843	123274
469	22893	123233
470	22940	123179
471	22989	123132
472	23049	123141
473	23097	123087
474	23148	123051
475	23194	122989
476	23246	122956
477	23292	122895
478	23341	122844
479	23403	122869
480	23463	122877
481	23509	122815
482	23556	122758
483	23605	122709
484	23655	122667
485	23712	122660
486	23761	122612
487	23809	122558
488	23856	122504
489	23900	122429
490	23953	122403
491	24014	122417
492	24064	122374
493	24113	122325
494	24175	122342
495	24223	122287
