iter	MAE
224	18.21473075
225	18.20761746
226	18.20494196
227	18.2009122
228	18.19117427
229	18.1866522
230	18.1809618
231	18.17263805
232	18.1604707
233	18.15176922
234	18.14064996
235	18.13490168
236	18.12964975
237	18.12188744
238	18.11889044
239	18.1108778
240	18.10381071
241	18.1006361
242	18.08648207
243	18.07694436
244	18.0706141
245	18.06306659
246	18.05750395
247	18.0529297
248	18.04640113
249	18.03719341
250	18.02843193
251	18.02169378
252	18.01517471
253	18.00590791
254	17.99896526
255	17.99266269
256	17.97860615
257	17.96846007
258	17.9615937
259	17.95378994
260	17.94574104
261	17.93984529
262	17.93638539
263	17.92914459
264	17.92521916
265	17.91701722
266	17.91398581
267	17.90909689
268	17.8997389
269	17.88949883
270	17.88635238
271	17.88155022
272	17.87406042
273	17.86931636
274	17.86165154
275	17.8563108
276	17.84967281
277	17.84339046
278	17.83868467
279	17.83050802
280	17.82149676
281	17.8159349
282	17.80310899
283	17.7982536
284	17.79240749
285	17.78416731
286	17.77807526
287	17.77106299
288	17.76527341
289	17.76132431
290	17.75515931
291	17.74949688
292	17.74429371
293	17.74133487
294	17.73846726
295	17.73193522
296	17.72610195
297	17.71964668
298	17.71384328
299	17.71064047
300	17.70587029
301	17.69953201
302	17.69556042
303	17.69235984
304	17.68562384
305	17.6828682
306	17.6806956
307	17.67422065
308	17.66870105
309	17.66252954
310	17.65179761
311	17.64632737
312	17.64206686
313	17.63730642
314	17.6314775
315	17.62359482
316	17.62133563
317	17.6119696
318	17.60552401
319	17.59878053
320	17.59281974
321	17.58892167
322	17.58018975
323	17.57535556
324	17.56680895
325	17.56275985
326	17.55786424
327	17.5510518
328	17.54615605
329	17.54239013
330	17.53876976
331	17.52989642
332	17.52538226
333	17.51940382
334	17.51563095
335	17.51026412
336	17.50108511
337	17.49494879
338	17.48990198
339	17.48617649
340	17.48019732
341	17.47393295
342	17.47049198
343	17.46434242
344	17.46004185
345	17.45453073
346	17.44955992
347	17.44393018
348	17.43718291
349	17.4215073
350	17.4163412
351	17.40996505
352	17.40225081
353	17.39895792
354	17.39298177
355	17.38737535
356	17.38196004
357	17.37702546
358	17.37036586
359	17.35559456
360	17.34755321
361	17.34323826
362	17.33862313
363	17.33420909
364	17.32662474
365	17.32056492
366	17.31621437
367	17.31213255
368	17.30521646
369	17.30130904
370	17.29144044
371	17.28356925
372	17.2806775
373	17.26873696
374	17.26257828
375	17.25658565
376	17.2503927
377	17.24055393
378	17.23690061
379	17.22975237
380	17.22002371
381	17.21571177
382	17.20654894
383	17.1994261
384	17.19647726
385	17.19432672
386	17.1900665
387	17.18665409
388	17.17660818
389	17.16951581
390	17.16514352
391	17.15675141
392	17.14771134
393	17.14253106
394	17.13723172
395	17.13235759
396	17.12253514
397	17.11467564
398	17.10557264
399	17.10087286
400	17.09153568
401	17.08641972
402	17.08220633
403	17.07821781
404	17.07184826
405	17.06503451
406	17.05787767
407	17.05266123
408	17.0442625
409	17.03885671
410	17.03386229
411	17.02709851
412	17.02459185
413	17.01756382
414	17.01257442
415	17.00692439
416	17.00010504
417	16.99326319
418	16.98717855
419	16.98059746
420	16.97703627
421	16.97383264
422	16.96976664
423	16.96485628
424	16.95987624
425	16.95220335
426	16.94117053
427	16.93333311
428	16.92723758
429	16.92392014
430	16.91920717
431	16.91426951
432	16.90623455
433	16.89766342
434	16.89233645
435	16.88430257
436	16.87908375
437	16.87520999
438	16.86715249
439	16.86341021
440	16.85930608
441	16.85565043
442	16.85007391
443	16.84440889
444	16.84073287
445	16.83537331
446	16.8316439
447	16.82799454
448	16.82234726
449	16.81263956
450	16.80735363
451	16.80283564
452	16.79861815
453	16.79593121
454	16.78988365
455	16.78268298
456	16.77931299
457	16.77501463
458	16.76919798
459	16.76316788
460	16.7542124
461	16.74953939
462	16.74359033
463	16.73918416
464	16.73423373
465	16.72843801
466	16.72272915
467	16.71926001
468	16.71231455
469	16.70766431
470	16.70157124
471	16.69676025
472	16.69498058
473	16.68999749
474	16.67992272
475	16.67616321
476	16.6697767
477	16.66479586
478	16.66044378
479	16.65737814
480	16.65023951
481	16.6483062
482	16.64628631
483	16.64152177
484	16.63653163
485	16.63107712
486	16.62708801
487	16.62338412
488	16.61771525
489	16.61162935
490	16.60669128
491	16.60259794
492	16.59826645
493	16.59504267
494	16.58614384
495	16.58236063
