iter	MAE
0	26.95813948
1	26.68803157
2	26.44237004
3	26.18897432
4	25.94250321
5	25.71109071
6	25.48579225
7	25.27630796
8	25.08573367
9	24.8741578
10	24.68780075
11	24.50507322
12	24.34843094
13	24.16833914
14	24.04359901
15	23.88947957
16	23.74216231
17	23.59593457
18	23.44710791
19	23.30781296
20	23.16919574
21	23.05248109
22	22.93015313
23	22.81086155
24	22.71681643
25	22.59774061
26	22.48985851
27	22.39465448
28	22.29629059
29	22.20378776
30	22.13062864
31	22.04090398
32	21.95413782
33	21.87264834
34	21.79349051
35	21.71523263
36	21.63594496
37	21.56677063
38	21.50835023
39	21.43894894
40	21.38285121
41	21.31555905
42	21.25724951
43	21.20538736
44	21.15681408
45	21.10241366
46	21.05050814
47	21.00335614
48	20.95918546
49	20.91037403
50	20.86461249
51	20.81758965
52	20.77900038
53	20.73636274
54	20.69525795
55	20.65424645
56	20.62337326
57	20.57265428
58	20.54393341
59	20.51638229
60	20.48003058
61	20.45039048
62	20.41889656
63	20.39373348
64	20.35615834
65	20.32252537
66	20.28590891
67	20.24842892
68	20.21142432
69	20.181548
70	20.15724376
71	20.12858606
72	20.10565644
73	20.07381111
74	20.05744925
75	20.03224829
76	20.00534144
77	19.9821555
78	19.95611398
79	19.94067456
80	19.91653044
81	19.89397502
82	19.87433832
83	19.84929449
84	19.82253776
85	19.80039237
86	19.77642272
87	19.76485829
88	19.7461173
89	19.72485517
90	19.69701341
91	19.67264034
92	19.64796003
93	19.62355461
94	19.60906206
95	19.58890177
96	19.57097697
97	19.54827172
98	19.52265845
99	19.50881842
100	19.49182964
101	19.47353813
102	19.46232441
103	19.44784417
104	19.4354947
105	19.42105126
106	19.40177769
107	19.38551458
108	19.3736289
109	19.3612176
110	19.34354989
111	19.3273931
112	19.31264048
113	19.29573437
114	19.28418289
115	19.26084484
116	19.25237085
117	19.23947639
118	19.22988798
119	19.21581238
120	19.2054492
121	19.18805982
122	19.1725135
123	19.15589107
124	19.14578049
125	19.13399471
126	19.12352104
127	19.11052473
128	19.09575916
129	19.08649069
130	19.07898441
131	19.06329944
132	19.04615237
133	19.03535882
134	19.02095081
135	19.00784983
136	18.99059506
137	18.97589713
138	18.96478669
139	18.9458692
140	18.93819172
141	18.9268979
142	18.91831349
143	18.9079122
144	18.8949316
145	18.89167398
146	18.88199165
147	18.87128274
148	18.86046431
149	18.85493103
150	18.84500522
151	18.82969463
152	18.81758198
153	18.80766742
154	18.79728721
155	18.78581375
156	18.77718862
157	18.76615284
158	18.75520156
159	18.7458028
160	18.73521377
161	18.72753836
162	18.71866853
163	18.7102707
164	18.7040873
165	18.69440534
166	18.68601031
167	18.68048528
168	18.67462805
169	18.66897819
170	18.65844778
171	18.65066203
172	18.6373164
173	18.62853302
174	18.61789704
175	18.60937291
176	18.60155468
177	18.58856592
178	18.58125289
179	18.57578495
180	18.56713714
181	18.56206688
182	18.55171492
183	18.54176091
184	18.53440153
185	18.52649556
186	18.517547
187	18.49728295
188	18.48835971
189	18.47925571
190	18.46760948
191	18.46156074
192	18.45485112
193	18.44610649
194	18.44069071
195	18.43500902
196	18.42413889
197	18.41857611
198	18.41371474
199	18.4025753
200	18.39381297
201	18.38325595
202	18.37812913
203	18.36993984
204	18.35691925
205	18.35101107
206	18.34253222
207	18.33551802
208	18.32366275
209	18.31949109
210	18.3148498
211	18.30619671
212	18.30108211
213	18.29412503
214	18.2883393
215	18.2752976
216	18.26340602
217	18.25333415
218	18.25203846
219	18.24759813
220	18.24076921
221	18.23218955
222	18.22602094
223	18.2216803
